split,split_index,record_order,record_id,annotation_index,sample,original_symbol,class_id,class_name
DS1_TRAIN,0,0,101,1,83,N,0,N
DS1_TRAIN,1,0,101,2,396,N,0,N
DS1_TRAIN,2,0,101,3,711,N,0,N
DS1_TRAIN,3,0,101,4,1032,N,0,N
DS1_TRAIN,4,0,101,5,1368,N,0,N
DS1_TRAIN,5,0,101,6,1712,N,0,N
DS1_TRAIN,6,0,101,7,2036,N,0,N
DS1_TRAIN,7,0,101,8,2349,N,0,N
DS1_TRAIN,8,0,101,9,2662,N,0,N
DS1_TRAIN,9,0,101,10,2972,N,0,N
DS1_TRAIN,10,0,101,11,3301,N,0,N
DS1_TRAIN,11,0,101,12,3631,N,0,N
DS1_TRAIN,12,0,101,13,3960,N,0,N
DS1_TRAIN,13,0,101,14,4283,N,0,N
DS1_TRAIN,14,0,101,15,4609,N,0,N
DS1_TRAIN,15,0,101,16,4928,N,0,N
DS1_TRAIN,16,0,101,17,5241,N,0,N
DS1_TRAIN,17,0,101,18,5569,N,0,N
DS1_TRAIN,18,0,101,19,5898,N,0,N
DS1_TRAIN,19,0,101,20,6223,N,0,N
DS1_TRAIN,20,0,101,21,6528,N,0,N
DS1_TRAIN,21,0,101,22,6830,N,0,N
DS1_TRAIN,22,0,101,23,7143,N,0,N
DS1_TRAIN,23,0,101,24,7463,N,0,N
DS1_TRAIN,24,0,101,25,7786,N,0,N
DS1_TRAIN,25,0,101,26,8105,N,0,N
DS1_TRAIN,26,0,101,27,8414,N,0,N
DS1_TRAIN,27,0,101,28,8721,N,0,N
DS1_TRAIN,28,0,101,29,9026,N,0,N
DS1_TRAIN,29,0,101,30,9321,N,0,N
DS1_TRAIN,30,0,101,31,9628,N,0,N
DS1_TRAIN,31,0,101,32,9953,N,0,N
DS1_TRAIN,32,0,101,33,10281,N,0,N
DS1_TRAIN,33,0,101,34,10590,N,0,N
DS1_TRAIN,34,0,101,35,10892,N,0,N
DS1_TRAIN,35,0,101,36,11185,N,0,N
DS1_TRAIN,36,0,101,37,11470,N,0,N
DS1_TRAIN,37,0,101,38,11760,N,0,N
DS1_TRAIN,38,0,101,39,12050,N,0,N
DS1_TRAIN,39,0,101,40,12338,N,0,N
DS1_TRAIN,40,0,101,41,12621,N,0,N
DS1_TRAIN,41,0,101,42,12911,N,0,N
DS1_TRAIN,42,0,101,43,13183,N,0,N
DS1_TRAIN,43,0,101,44,13457,N,0,N
DS1_TRAIN,44,0,101,45,13740,N,0,N
DS1_TRAIN,45,0,101,46,14030,N,0,N
DS1_TRAIN,46,0,101,47,14333,N,0,N
DS1_TRAIN,47,0,101,48,14640,N,0,N
DS1_TRAIN,48,0,101,49,14923,N,0,N
DS1_TRAIN,49,0,101,50,15195,N,0,N
DS1_TRAIN,50,0,101,51,15474,N,0,N
DS1_TRAIN,51,0,101,52,15760,N,0,N
